id_anssi,titre,type,date,lien,description_bulletin,cve_id,cvss_score,base_severity,cwe_id,cwe_description,epss_score,description,vendor,product,versions_affectees
CERTFR-2026-AVI-0744,Multiples vulnérabilités dans les produits Spring (12 juin 2026),avis,2026-06-12,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0744/,De multiples vulnérabilités ont été découvertes dans les produits Spring. Elles permettent à un attaquant de provoquer un déni de service à distance et un problème de sécurité non spécifié par l'éditeur.,CVE-2026-41708,7.5,HIGH,CWE-400,CWE-400: Uncontrolled Resource Consumption,0.0046,"In Spring Cloud Sleuth, it is possible for a user to provide specially crafted calls that may cause a denial-of-service (DoS) condition. The application is vulnerable when it uses a vulnerable version of org.springframework.cloud:spring-cloud-sleuth-instrumentation and Spring TX instrumentation is not disabled.

Affected versions:
Spring Cloud Sleuth 3.1.0 through 3.1.13.",Spring,Spring Cloud Sleuth,3.1.0
CERTFR-2026-AVI-0745,Multiples vulnérabilités dans le noyau Linux de SUSE (12 juin 2026),avis,2026-06-12,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0745/,"De multiples vulnérabilités ont été découvertes dans le noyau Linux de SUSE. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire, une atteinte à la confidentialité des données et une atteinte à l'intégrité des données.",CVE-2026-31483,,,,,0.00123,"In the Linux kernel, the following vulnerability has been resolved:

s390/syscalls: Add spectre boundary for syscall dispatch table

The s390 syscall number is directly controlled by userspace, but does
not have an array_index_nospec() boundary to prevent access past the
syscall function pointer tables.",Linux,Linux,"56e62a73702836017564eaacd5212e4d0fa1c01d, 56e62a73702836017564eaacd5212e4d0fa1c01d, 56e62a73702836017564eaacd5212e4d0fa1c01d, 56e62a73702836017564eaacd5212e4d0fa1c01d, 56e62a73702836017564eaacd5212e4d0fa1c01d, 56e62a73702836017564eaacd5212e4d0fa1c01d, 56e62a73702836017564eaacd5212e4d0fa1c01d"
CERTFR-2026-AVI-0745,Multiples vulnérabilités dans le noyau Linux de SUSE (12 juin 2026),avis,2026-06-12,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0745/,"De multiples vulnérabilités ont été découvertes dans le noyau Linux de SUSE. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire, une atteinte à la confidentialité des données et une atteinte à l'intégrité des données.",CVE-2026-43414,9.8,CRITICAL,,,0.0038,"In the Linux kernel, the following vulnerability has been resolved:

scsi: qla2xxx: Completely fix fcport double free

In qla24xx_els_dcmd_iocb() sp->free is set to qla2x00_els_dcmd_sp_free().
When an error happens, this function is called by qla2x00_sp_release(),
when kref_put() releases the first and the last reference.

qla2x00_els_dcmd_sp_free() frees fcport by calling qla2x00_free_fcport().
Doing it one more time after kref_put() is a bad idea.",Linux,Linux,"4895009c4bb72f71f2e682f1e7d2c2d96e482087, 4895009c4bb72f71f2e682f1e7d2c2d96e482087, 7861213201838480dc222634c56fb6db113d010d, 3b9d72442adfbc9ddb0f76dd1b03977b3a578b16, ef23850940d9a52c39936d27254824ccf5e9b6bd, 6c6bf6cacf9461f8d301cfac4f9c175d80cbcc63, cd10dee1f07a782f5aa05703c55299ca86a85ee4, b03e626bd6d3f0684f56ee1890d70fc9ca991c04, 282877633b25d67021a34169c5b5519b1d4ef65e, f85af9f1aa5e2f53694a6cbe72010f754b5ff862, 9b43d2884b54d415caab48878b526dfe2ae9921b, 846fb9f112f618ec6ae181d8dae7961652574774, 5.15.154, 6.1.84, 6.6.24, 6.7.12, 6.8.3"
CERTFR-2026-AVI-0745,Multiples vulnérabilités dans le noyau Linux de SUSE (12 juin 2026),avis,2026-06-12,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0745/,"De multiples vulnérabilités ont été découvertes dans le noyau Linux de SUSE. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire, une atteinte à la confidentialité des données et une atteinte à l'intégrité des données.",CVE-2026-31493,,,,,0.00127,"In the Linux kernel, the following vulnerability has been resolved:

RDMA/efa: Fix use of completion ctx after free

On admin queue completion handling, if the admin command completed with
error we print data from the completion context. The issue is that we
already freed the completion context in polling/interrupts handler which
means we print data from context in an unknown state (it might be
already used again).
Change the admin submission flow so alloc/dealloc of the context will be
symmetric and dealloc will be called after any potential use of the
context.",Linux,Linux,"68fb9f3e312a36e49fd05ec2d6b668daf2c4931a, 68fb9f3e312a36e49fd05ec2d6b668daf2c4931a, 68fb9f3e312a36e49fd05ec2d6b668daf2c4931a"
CERTFR-2026-AVI-0745,Multiples vulnérabilités dans le noyau Linux de SUSE (12 juin 2026),avis,2026-06-12,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0745/,"De multiples vulnérabilités ont été découvertes dans le noyau Linux de SUSE. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire, une atteinte à la confidentialité des données et une atteinte à l'intégrité des données.",CVE-2026-31402,9.8,CRITICAL,,,0.00629,"In the Linux kernel, the following vulnerability has been resolved:

nfsd: fix heap overflow in NFSv4.0 LOCK replay cache

The NFSv4.0 replay cache uses a fixed 112-byte inline buffer
(rp_ibuf[NFSD4_REPLAY_ISIZE]) to store encoded operation responses.
This size was calculated based on OPEN responses and does not account
for LOCK denied responses, which include the conflicting lock owner as
a variable-length field up to 1024 bytes (NFS4_OPAQUE_LIMIT).

When a LOCK operation is denied due to a conflict with an existing lock
that has a large owner, nfsd4_encode_operation() copies the full encoded
response into the undersized replay buffer via read_bytes_from_xdr_buf()
with no bounds check. This results in a slab-out-of-bounds write of up
to 944 bytes past the end of the buffer, corrupting adjacent heap memory.

This can be triggered remotely by an unauthenticated attacker with two
cooperating NFSv4.0 clients: one sets a lock with a large owner string,
then the other requests a conflicting lock to provoke the denial.

We could fix this by increasing NFSD4_REPLAY_ISIZE to allow for a full
opaque, but that would increase the size of every stateowner, when most
lockowners are not that large.

Instead, fix this by checking the encoded response length against
NFSD4_REPLAY_ISIZE before copying into the replay buffer. If the
response is too large, set rp_buflen to 0 to skip caching the replay
payload. The status is still cached, and the client already received the
correct response on the original request.",Linux,Linux,"1da177e4c3f41524e886b7f1b8a0c1fc7321cac2, 1da177e4c3f41524e886b7f1b8a0c1fc7321cac2, 1da177e4c3f41524e886b7f1b8a0c1fc7321cac2, 1da177e4c3f41524e886b7f1b8a0c1fc7321cac2, 1da177e4c3f41524e886b7f1b8a0c1fc7321cac2, 1da177e4c3f41524e886b7f1b8a0c1fc7321cac2, 1da177e4c3f41524e886b7f1b8a0c1fc7321cac2"
CERTFR-2026-AVI-0745,Multiples vulnérabilités dans le noyau Linux de SUSE (12 juin 2026),avis,2026-06-12,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0745/,"De multiples vulnérabilités ont été découvertes dans le noyau Linux de SUSE. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire, une atteinte à la confidentialité des données et une atteinte à l'intégrité des données.",CVE-2026-45852,7.8,HIGH,,,0.00164,"In the Linux kernel, the following vulnerability has been resolved:

RDMA/rxe: Fix double free in rxe_srq_from_init

In rxe_srq_from_init(), the queue pointer 'q' is assigned to
'srq->rq.queue' before copying the SRQ number to user space.
If copy_to_user() fails, the function calls rxe_queue_cleanup()
to free the queue, but leaves the now-invalid pointer in
'srq->rq.queue'.

The caller of rxe_srq_from_init() (rxe_create_srq) eventually
calls rxe_srq_cleanup() upon receiving the error, which triggers
a second rxe_queue_cleanup() on the same memory, leading to a
double free.

The call trace looks like this:
   kmem_cache_free+0x.../0x...
   rxe_queue_cleanup+0x1a/0x30 [rdma_rxe]
   rxe_srq_cleanup+0x42/0x60 [rdma_rxe]
   rxe_elem_release+0x31/0x70 [rdma_rxe]
   rxe_create_srq+0x12b/0x1a0 [rdma_rxe]
   ib_create_srq_user+0x9a/0x150 [ib_core]

Fix this by moving 'srq->rq.queue = q' after copy_to_user.",Linux,Linux,"aae0484e15f062ad2c2502e68e15dfb8b8f84608, aae0484e15f062ad2c2502e68e15dfb8b8f84608, aae0484e15f062ad2c2502e68e15dfb8b8f84608, aae0484e15f062ad2c2502e68e15dfb8b8f84608, aae0484e15f062ad2c2502e68e15dfb8b8f84608, aae0484e15f062ad2c2502e68e15dfb8b8f84608, aae0484e15f062ad2c2502e68e15dfb8b8f84608, aae0484e15f062ad2c2502e68e15dfb8b8f84608, 350703fae672d4d649c3562c199eab5ec9dc7c79, 4.19.86"
CERTFR-2026-AVI-0745,Multiples vulnérabilités dans le noyau Linux de SUSE (12 juin 2026),avis,2026-06-12,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0745/,"De multiples vulnérabilités ont été découvertes dans le noyau Linux de SUSE. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire, une atteinte à la confidentialité des données et une atteinte à l'intégrité des données.",CVE-2026-31758,7.8,HIGH,,,0.00126,"In the Linux kernel, the following vulnerability has been resolved:

usb: usbtmc: Flush anchored URBs in usbtmc_release

When calling usbtmc_release, pending anchored URBs must be flushed or
killed to prevent use-after-free errors (e.g. in the HCD giveback
path). Call usbtmc_draw_down() to allow anchored URBs to be completed.",Linux,Linux,"4f3c8d6eddc272b386464524235440a418ed2029, 4f3c8d6eddc272b386464524235440a418ed2029, 4f3c8d6eddc272b386464524235440a418ed2029, 4f3c8d6eddc272b386464524235440a418ed2029, 4f3c8d6eddc272b386464524235440a418ed2029, 4f3c8d6eddc272b386464524235440a418ed2029, 4f3c8d6eddc272b386464524235440a418ed2029, 4f3c8d6eddc272b386464524235440a418ed2029"
CERTFR-2026-AVI-0745,Multiples vulnérabilités dans le noyau Linux de SUSE (12 juin 2026),avis,2026-06-12,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0745/,"De multiples vulnérabilités ont été découvertes dans le noyau Linux de SUSE. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire, une atteinte à la confidentialité des données et une atteinte à l'intégrité des données.",CVE-2026-31685,9.4,CRITICAL,,,0.00337,"In the Linux kernel, the following vulnerability has been resolved:

netfilter: ip6t_eui64: reject invalid MAC header for all packets

`eui64_mt6()` derives a modified EUI-64 from the Ethernet source address
and compares it with the low 64 bits of the IPv6 source address.

The existing guard only rejects an invalid MAC header when
`par->fragoff != 0`. For packets with `par->fragoff == 0`, `eui64_mt6()`
can still reach `eth_hdr(skb)` even when the MAC header is not valid.

Fix this by removing the `par->fragoff != 0` condition so that packets
with an invalid MAC header are rejected before accessing `eth_hdr(skb)`.",Linux,Linux,"1da177e4c3f41524e886b7f1b8a0c1fc7321cac2, 1da177e4c3f41524e886b7f1b8a0c1fc7321cac2, 1da177e4c3f41524e886b7f1b8a0c1fc7321cac2, 1da177e4c3f41524e886b7f1b8a0c1fc7321cac2, 1da177e4c3f41524e886b7f1b8a0c1fc7321cac2, 1da177e4c3f41524e886b7f1b8a0c1fc7321cac2, 1da177e4c3f41524e886b7f1b8a0c1fc7321cac2, 1da177e4c3f41524e886b7f1b8a0c1fc7321cac2"
CERTFR-2026-AVI-0745,Multiples vulnérabilités dans le noyau Linux de SUSE (12 juin 2026),avis,2026-06-12,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0745/,"De multiples vulnérabilités ont été découvertes dans le noyau Linux de SUSE. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire, une atteinte à la confidentialité des données et une atteinte à l'intégrité des données.",CVE-2026-45910,7.8,HIGH,,,0.00132,"In the Linux kernel, the following vulnerability has been resolved:

RDMA/rxe: Fix race condition in QP timer handlers

I encontered the following warning:
 WARNING: drivers/infiniband/sw/rxe/rxe_task.c:249 at rxe_sched_task+0x1c8/0x238 [rdma_rxe], CPU#0: swapper/0/0
...
  libsha1 [last unloaded: ip6_udp_tunnel]
 CPU: 0 UID: 0 PID: 0 Comm: swapper/0 Tainted: G         C          6.19.0-rc5-64k-v8+ #37 PREEMPT
 Tainted: [C]=CRAP
 Hardware name: Raspberry Pi 4 Model B Rev 1.2
 Call trace:
  rxe_sched_task+0x1c8/0x238 [rdma_rxe] (P)
  retransmit_timer+0x130/0x188 [rdma_rxe]
  call_timer_fn+0x68/0x4d0
  __run_timers+0x630/0x888
...
 WARNING: drivers/infiniband/sw/rxe/rxe_task.c:38 at rxe_sched_task+0x1c0/0x238 [rdma_rxe], CPU#0: swapper/0/0
...
 WARNING: drivers/infiniband/sw/rxe/rxe_task.c:111 at do_work+0x488/0x5c8 [rdma_rxe], CPU#3: kworker/u17:4/93400
...
 refcount_t: underflow; use-after-free.
 WARNING: lib/refcount.c:28 at refcount_warn_saturate+0x138/0x1a0, CPU#3: kworker/u17:4/93400

The issue is caused by a race condition between retransmit_timer() and
rxe_destroy_qp, leading to the Queue Pair's (QP) reference count dropping
to zero during timer handler execution.

It seems this warning is harmless because rxe_qp_do_cleanup() will flush
all pending timers and requests.

Example of flow causing the issue:

CPU0                                   CPU1
retransmit_timer() {
    spin_lock_irqsave
                           rxe_destroy_qp()
                            __rxe_cleanup()
                              __rxe_put() // qp->ref_count decrease to 0
                            rxe_qp_do_cleanup() {
    if (qp->valid) {
        rxe_sched_task() {
            WARN_ON(rxe_read(task->qp) <= 0);
        }
    }
    spin_unlock_irqrestore
}
                              spin_lock_irqsave
                              qp->valid = 0
                              spin_unlock_irqrestore
                            }

Ensure the QP's reference count is maintained and its validity is checked
within the timer callbacks by adding calls to rxe_get(qp) and corresponding
rxe_put(qp) after use.",Linux,Linux,"d94671632572813e90bcf475bb4c7d51fbf20173, d94671632572813e90bcf475bb4c7d51fbf20173, d94671632572813e90bcf475bb4c7d51fbf20173, d94671632572813e90bcf475bb4c7d51fbf20173, d94671632572813e90bcf475bb4c7d51fbf20173"
CERTFR-2026-AVI-0745,Multiples vulnérabilités dans le noyau Linux de SUSE (12 juin 2026),avis,2026-06-12,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0745/,"De multiples vulnérabilités ont été découvertes dans le noyau Linux de SUSE. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire, une atteinte à la confidentialité des données et une atteinte à l'intégrité des données.",CVE-2026-31405,9.8,CRITICAL,,,0.0055,"In the Linux kernel, the following vulnerability has been resolved:

media: dvb-net: fix OOB access in ULE extension header tables

The ule_mandatory_ext_handlers[] and ule_optional_ext_handlers[] tables
in handle_one_ule_extension() are declared with 255 elements (valid
indices 0-254), but the index htype is derived from network-controlled
data as (ule_sndu_type & 0x00FF), giving a range of 0-255. When
htype equals 255, an out-of-bounds read occurs on the function pointer
table, and the OOB value may be called as a function pointer.

Add a bounds check on htype against the array size before either table
is accessed. Out-of-range values now cause the SNDU to be discarded.",Linux,Linux,"1da177e4c3f41524e886b7f1b8a0c1fc7321cac2, 1da177e4c3f41524e886b7f1b8a0c1fc7321cac2, 1da177e4c3f41524e886b7f1b8a0c1fc7321cac2, 1da177e4c3f41524e886b7f1b8a0c1fc7321cac2, 1da177e4c3f41524e886b7f1b8a0c1fc7321cac2, 1da177e4c3f41524e886b7f1b8a0c1fc7321cac2, 1da177e4c3f41524e886b7f1b8a0c1fc7321cac2, 1da177e4c3f41524e886b7f1b8a0c1fc7321cac2"
CERTFR-2026-AVI-0745,Multiples vulnérabilités dans le noyau Linux de SUSE (12 juin 2026),avis,2026-06-12,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0745/,"De multiples vulnérabilités ont été découvertes dans le noyau Linux de SUSE. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire, une atteinte à la confidentialité des données et une atteinte à l'intégrité des données.",CVE-2026-43054,,,,,0.00114,"In the Linux kernel, the following vulnerability has been resolved:

scsi: target: tcm_loop: Drain commands in target_reset handler

tcm_loop_target_reset() violates the SCSI EH contract: it returns SUCCESS
without draining any in-flight commands.  The SCSI EH documentation
(scsi_eh.rst) requires that when a reset handler returns SUCCESS the driver
has made lower layers ""forget about timed out scmds"" and is ready for new
commands.  Every other SCSI LLD (virtio_scsi, mpt3sas, ipr, scsi_debug,
mpi3mr) enforces this by draining or completing outstanding commands before
returning SUCCESS.

Because tcm_loop_target_reset() doesn't drain, the SCSI EH reuses in-flight
scsi_cmnd structures for recovery commands (e.g. TUR) while the target core
still has async completion work queued for the old se_cmd.  The memset in
queuecommand zeroes se_lun and lun_ref_active, causing
transport_lun_remove_cmd() to skip its percpu_ref_put().  The leaked LUN
reference prevents transport_clear_lun_ref() from completing, hanging
configfs LUN unlink forever in D-state:

  INFO: task rm:264 blocked for more than 122 seconds.
  rm              D    0   264    258 0x00004000
  Call Trace:
   __schedule+0x3d0/0x8e0
   schedule+0x36/0xf0
   transport_clear_lun_ref+0x78/0x90 [target_core_mod]
   core_tpg_remove_lun+0x28/0xb0 [target_core_mod]
   target_fabric_port_unlink+0x50/0x60 [target_core_mod]
   configfs_unlink+0x156/0x1f0 [configfs]
   vfs_unlink+0x109/0x290
   do_unlinkat+0x1d5/0x2d0

Fix this by making tcm_loop_target_reset() actually drain commands:

 1. Issue TMR_LUN_RESET via tcm_loop_issue_tmr() to drain all commands that
    the target core knows about (those not yet CMD_T_COMPLETE).

 2. Use blk_mq_tagset_busy_iter() to iterate all started requests and
    flush_work() on each se_cmd — this drains any deferred completion work
    for commands that already had CMD_T_COMPLETE set before the TMR (which
    the TMR skips via __target_check_io_state()).  This is the same pattern
    used by mpi3mr, scsi_debug, and libsas to drain outstanding commands
    during reset.",Linux,Linux,"e0eb5d38b732b011cd9ed5b1bf9f59b83c2500d3, e0eb5d38b732b011cd9ed5b1bf9f59b83c2500d3, e0eb5d38b732b011cd9ed5b1bf9f59b83c2500d3, e0eb5d38b732b011cd9ed5b1bf9f59b83c2500d3, e0eb5d38b732b011cd9ed5b1bf9f59b83c2500d3, e0eb5d38b732b011cd9ed5b1bf9f59b83c2500d3, e0eb5d38b732b011cd9ed5b1bf9f59b83c2500d3"
CERTFR-2026-AVI-0745,Multiples vulnérabilités dans le noyau Linux de SUSE (12 juin 2026),avis,2026-06-12,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0745/,"De multiples vulnérabilités ont été découvertes dans le noyau Linux de SUSE. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire, une atteinte à la confidentialité des données et une atteinte à l'intégrité des données.",CVE-2023-20585,,,CWE-788,CWE-788  Access of Memory Location After End of Buffer,0.00098,"Insufficient checks of the RMP on host buffer access in IOMMU may allow an attacker with privileges and a compromised hypervisor to trigger an out of bounds condition without RMP checks, resulting in a potential loss of confidential guest integrity.",AMD,AMD EPYC™ 7003 Series Processors,
CERTFR-2026-AVI-0745,Multiples vulnérabilités dans le noyau Linux de SUSE (12 juin 2026),avis,2026-06-12,https://www.cert.ssi.gouv.fr/avis/CERTFR-2026-AVI-0745/,"De multiples vulnérabilités ont été découvertes dans le noyau Linux de SUSE. Certaines d'entre elles permettent à un attaquant de provoquer une exécution de code arbitraire, une atteinte à la confidentialité des données et une atteinte à l'intégrité des données.",CVE-2026-31473,7.8,HIGH,,,0.00126,"In the Linux kernel, the following vulnerability has been resolved:

media: mc, v4l2: serialize REINIT and REQBUFS with req_queue_mutex

MEDIA_REQUEST_IOC_REINIT can run concurrently with VIDIOC_REQBUFS(0)
queue teardown paths. This can race request object cleanup against vb2
queue cancellation and lead to use-after-free reports.

We already serialize request queueing against STREAMON/OFF with
req_queue_mutex. Extend that serialization to REQBUFS, and also take
the same mutex in media_request_ioctl_reinit() so REINIT is in the
same exclusion domain.

This keeps request cleanup and queue cancellation from running in
parallel for request-capable devices.",Linux,Linux,"6093d3002eabd7c2913d97f1d1f4ce34b072acf9, 6093d3002eabd7c2913d97f1d1f4ce34b072acf9, 6093d3002eabd7c2913d97f1d1f4ce34b072acf9, 6093d3002eabd7c2913d97f1d1f4ce34b072acf9, 6093d3002eabd7c2913d97f1d1f4ce34b072acf9, 6093d3002eabd7c2913d97f1d1f4ce34b072acf9, 6093d3002eabd7c2913d97f1d1f4ce34b072acf9, 6093d3002eabd7c2913d97f1d1f4ce34b072acf9"
